,journal
CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,1
Inflammatory bowel diseases,1
Experimental gerontology,1
"Journal of vacuum science and technology. B, Nanotechnology & microelectronics : materials, processing, measurement, & phenomena : JVST B",1
Infection & chemotherapy,1
Brain sciences,1
ACS applied bio materials,1
"Innovation (New York, N.Y.)",1
Metabolism open,1
American journal of kidney diseases : the official journal of the National Kidney Foundation,1
Bulletin of experimental biology and medicine,1
Cell chemical biology,1
Journal of inflammation research,1
"Angewandte Chemie (Weinheim an der Bergstrasse, Germany)",1
Engineering in life sciences,1
Pathogens & immunity,1
European journal of internal medicine,1
Transfusion clinique et biologique : journal de la Societe francaise de transfusion sanguine,1
MEDICC review,1
Acta pharmaceutica Sinica. B,1
Nano letters,1
The lancet. HIV,1
Frontiers in physiology,1
Pharmacological research,1
Tropical medicine and infectious disease,1
EJHaem,1
MethodsX,1
ACS chemical biology,1
Diabetic medicine : a journal of the British Diabetic Association,1
RSC medicinal chemistry,1
Nature protocols,1
"Experimental biology and medicine (Maywood, N.J.)",1
Drug metabolism reviews,1
"Journal of molecular medicine (Berlin, Germany)",1
"Molecular medicine (Cambridge, Mass.)",1
The oncologist,1
AIDS research and human retroviruses,1
Genomics,1
Analytical and bioanalytical chemistry,1
"Nucleosides, nucleotides & nucleic acids",1
Laryngo- rhino- otologie,1
Clinical microbiology reviews,1
Journal of nanoscience and nanotechnology,1
Current research in pharmacology and drug discovery,1
Current opinion in HIV and AIDS,1
"Allergy & rhinology (Providence, R.I.)",1
Annual review of immunology,1
Acta naturae,1
Archives of Razi Institute,1
Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology],1
International journal of peptide research and therapeutics,1
Current opinion in infectious diseases,1
BMB reports,1
Microbial pathogenesis,1
Microbial cell factories,1
Voprosy virusologii,1
Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],1
Antiviral therapy,1
"Global challenges (Hoboken, NJ)",1
The International journal of neuroscience,1
Journal of computational chemistry,1
Letters in applied microbiology,1
Stem cell research,1
Current microbiology,1
Biochemistry and biophysics reports,1
Frontiers in artificial intelligence,1
"Brain, behavior, and immunity",1
Molecular cancer,1
Stem cell reports,1
Pakistan journal of pharmaceutical sciences,1
Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,1
Current opinion in immunology,1
Veterinary world,1
Current treatment options in allergy,1
Journal of veterinary science,1
Molecular biology and evolution,1
Plant cell reports,1
Molecular pharmaceutics,1
Scandinavian journal of infectious diseases,1
Hybridoma (2005),1
The Japanese journal of veterinary research,1
Polish journal of veterinary sciences,1
Expert opinion on therapeutic patents,1
Journal of pharmaceutical sciences,1
Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,1
Oxford open immunology,1
International journal of clinical practice,1
International immunology,1
"Genomics, proteomics & bioinformatics",1
Current protocols in microbiology,1
Fish & shellfish immunology,1
Gene therapy,1
Circulation,1
Current opinion in molecular therapeutics,1
Japanese journal of infectious diseases,1
Asian Pacific journal of allergy and immunology,1
Immunobiology,1
Biology,1
Influenza and other respiratory viruses,1
Molecular diversity,1
Mediterranean journal of rheumatology,1
Probiotics and antimicrobial proteins,1
Current molecular medicine,1
Tumori,1
Medical science monitor : international medical journal of experimental and clinical research,1
"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",1
International archives of allergy and immunology,1
Lab on a chip,1
BMJ (Clinical research ed.),1
JMIR research protocols,1
Tropical medicine & international health : TM & IH,1
"Medical principles and practice : international journal of the Kuwait University, Health Science Centre",1
Biospektrum : Zeitschrift der Gesellschaft fur Biologishe Chemie (GBCH) und der Vereinigung fur Allgemeine und Angewandte Mikrobiologie (VAAM),1
Annals of clinical biochemistry,1
Nature metabolism,1
BMC research notes,1
Annales de recherches veterinaires. Annals of veterinary research,1
Journal of occupational and environmental medicine,1
Journal of the American Veterinary Medical Association,1
Current medicinal chemistry,1
The Journal of antimicrobial chemotherapy,1
"Nanomedicine (London, England)",1
Biotechnology progress,1
Hepatic medicine : evidence and research,1
Journal of thrombosis and haemostasis : JTH,1
In silico pharmacology,1
Inflammation,1
Frontiers in bioengineering and biotechnology,1
"Indian journal of critical care medicine : peer-reviewed, official publication of Indian Society of Critical Care Medicine",1
Bio-design and manufacturing,1
Journal of blood medicine,1
Infection and drug resistance,1
The Journal of clinical endocrinology and metabolism,1
Journal of advanced research,1
Molecular therapy. Methods & clinical development,1
Genetics and molecular biology,1
Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,1
"Transfusion medicine (Oxford, England)",1
"Journal of public health (Oxford, England)",1
3 Biotech,1
International dairy journal,1
ACS synthetic biology,1
The Veterinary record,1
Nihon juigaku zasshi. The Japanese journal of veterinary science,1
"Nanomaterials (Basel, Switzerland)",1
Journal of evidence-based integrative medicine,1
Immunological investigations,1
Advanced drug delivery reviews,1
Molecular and cellular probes,1
Bioinformatics and biology insights,1
"Bioscience, biotechnology, and biochemistry",1
"Small (Weinheim an der Bergstrasse, Germany)",1
Blood reviews,1
Journal of molecular recognition : JMR,1
The journal of allergy and clinical immunology. In practice,1
Journal of molecular liquids,1
"Bioinformatics (Oxford, England)",1
Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences,1
Clinical and diagnostic laboratory immunology,1
Biophysical chemistry,1
Molecules and cells,1
Der Internist,1
"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",1
Medicina,1
JFMS open reports,1
"Neurologia (Barcelona, Spain)",1
Di 1 jun yi da xue xue bao = Academic journal of the first medical college of PLA,1
Der Ophthalmologe : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft,1
Journal of neurochemistry,1
Annual review of pharmacology and toxicology,1
Physiological genomics,1
European urology focus,1
"Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi",1
Theochem,1
Cytometry. Part A : the journal of the International Society for Analytical Cytology,1
Archives of toxicology,1
Practical laboratory medicine,1
Bioengineered,1
Matter,1
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,1
Biochemical Society transactions,1
Medical research archives,1
"Rheumatology (Oxford, England)",1
Life science alliance,1
The CRISPR journal,1
"BioDrugs : clinical immunotherapeutics, biopharmaceuticals and gene therapy",1
"Respirology (Carlton, Vic.)",1
Neurology,1
Drugs,1
Transplantation direct,1
The Lancet. Oncology,1
Trends in biochemical sciences,1
Liver transplantation : official publication of the American Association for the Study of Liver Diseases and the International Liver Transplantation Society,1
Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,1
Immunopharmacology and immunotoxicology,1
Cell transplantation,1
Advances in pharmacological and pharmaceutical sciences,1
"Therapeutic apheresis and dialysis : official peer-reviewed journal of the International Society for Apheresis, the Japanese Society for Apheresis, the Japanese Society for Dialysis Therapy",1
Mayo Clinic proceedings,1
Annals of epidemiology,1
HIV medicine,1
International journal of epidemiology,1
Journal of translational internal medicine,1
European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,1
Immunotherapy,1
The European respiratory journal,1
Iranian journal of kidney diseases,1
British journal of biomedical science,1
Revista espanola de quimioterapia : publicacion oficial de la Sociedad Espanola de Quimioterapia,1
Expert review of proteomics,1
Acta biochimica et biophysica Sinica,1
Pharmaceutics,1
Die Pharmazie,1
Biomedical and environmental sciences : BES,1
Journal of structural biology,1
DTW. Deutsche tierarztliche Wochenschrift,1
Preventive veterinary medicine,1
BMC biotechnology,1
Advanced pharmaceutical bulletin,1
Oncotarget,1
BMC genomics,1
Current gene therapy,1
Zoonoses and public health,1
Antiviral chemistry & chemotherapy,1
Wei sheng wu xue bao = Acta microbiologica Sinica,1
Medicinal research reviews,1
Biotechnology letters,1
Biotechnology and bioengineering,1
"Journal of pharmacy & pharmaceutical sciences : a publication of the Canadian Society for Pharmaceutical Sciences, Societe canadienne des sciences pharmaceutiques",1
Current protein & peptide science,1
Current opinion in pharmacology,1
Recent patents on anti-infective drug discovery,1
Combinatorial chemistry & high throughput screening,1
Drug development research,1
ACS medicinal chemistry letters,1
Experimental cell research,1
The British veterinary journal,1
Protein and peptide letters,1
Drug resistance updates : reviews and commentaries in antimicrobial and anticancer chemotherapy,1
Indian journal of medical microbiology,1
Immunology and cell biology,1
Developmental biology,1
Molecular & cellular proteomics : MCP,1
Biophysics,1
Access microbiology,1
Current pharmaceutical design,1
The protein journal,1
Stem cell reviews and reports,1
Journal of immunoassay,1
Journal of immunoassay & immunochemistry,1
Trends in immunology,1
Diabetologia,1
Fundamental & clinical pharmacology,1
Laboratory animal science,1
The Lancet. Global health,1
European journal of biochemistry,1
